Species_1,Kingdom_1,Interaction_type,Species_2,Kingdom_2
Crataegus monogyna,Plant,eatenBy,Turdus iliacus,Animal
Ilex aquifolium,Plant,eatenBy,Turdus iliacus,Animal
Turdus merula,Animal,eats,Ilex aquifolium,Plant
Ilex aquifolium,Plant,eatenBy,Turdus pilaris,Animal
Ilex aquifolium,Plant,eatenBy,Turdus philomelos,Animal
Turdus viscivorus,Animal,eats,Taxus baccata,Plant
Crataegus monogyna,Plant,eatenBy,Turdus pilaris,Animal
Turdus pilaris,Animal,eats,Crataegus monogyna,Plant
Turdus merula,Animal,eats,Taxus baccata,Plant
Lycaena virgaureae,Animal,eats,Rumex acetosella,Plant
Lycaena virgaureae,Animal,eats,Rumex acetosa,Plant
Rumex acetosella,Plant,eatenBy,Lycaena virgaureae,Animal
Rumex acetosa,Plant,eatenBy,Lycaena virgaureae,Animal
Hyles gallii,Animal,eats,Galium spurium,Plant
Galium aparine,Plant,eatenBy,Halidamia affinis,Animal
Halidamia affinis,Animal,eats,Galium aparine,Plant
Galium spurium,Plant,eatenBy,Hyles gallii,Animal
Sturnus vulgaris,Animal,eats,Ilex aquifolium,Plant
Ilex aquifolium,Plant,eatenBy,Sturnus vulgaris,Animal
Sturnus vulgaris,Animal,eats,Ilex,Plant
Ilex yunnanensis,Plant,eatenBy,Erithacus rubecula,Animal
Ilex,Plant,eatenBy,Sturnus vulgaris,Animal
Erithacus rubecula,Animal,eats,Ilex integra,Plant
Erithacus rubecula,Animal,eats,Ilex,Plant
Ilex ciliospinosa,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex decidua,Plant
Ilex dipyrena,Plant,eatenBy,Erithacus rubecula,Animal
Ilex crenata,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex maximowicziana,Plant
Ilex serrata,Plant,eatenBy,Erithacus rubecula,Animal
Ilex cornuta,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex ciliospinosa,Plant
Ilex maximowicziana,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex crenata,Plant
Erithacus rubecula,Animal,eats,Ilex latifolia,Plant
Ilex integra,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex,Plant
Erithacus rubecula,Animal,eats,Ilex cornuta,Plant
Erithacus rubecula,Animal,eats,Ilex pernyi,Plant
Ilex,Plant,eatenBy,Erithacus rubecula,Animal
Ilex,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex yunnanensis,Plant
Ilex opaca,Plant,eatenBy,Erithacus rubecula,Animal
Ilex pernyi,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex,Plant
Ilex,Plant,eatenBy,Erithacus rubecula,Animal
Ilex verticillata,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex opaca,Plant
Ilex latifolia,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex,Plant
Ilex,Plant,eatenBy,Erithacus rubecula,Animal
Erithacus rubecula,Animal,eats,Ilex aquifolium,Plant
Erithacus rubecula,Animal,eats,Ilex dipyrena,Plant
Erithacus rubecula,Animal,eats,Ilex verticillata,Plant
Erithacus rubecula,Animal,eats,Ilex serrata,Plant
Ilex decidua,Plant,eatenBy,Erithacus rubecula,Animal
Ilex aquifolium,Plant,eatenBy,Erithacus rubecula,Animal
Araneus diadematus,Animal,eatenBy,Araneus diadematus,Animal
Araneus diadematus,Animal,eats,Araneus diadematus,Animal
Drosophila melanogaster,Animal,eatenBy,Araneus diadematus,Animal
Araneus diadematus,Animal,eats,Drosophila melanogaster,Animal
Araneus diadematus,Animal,eats,Aedes aegypti,Animal
Aedes aegypti,Animal,eatenBy,Araneus diadematus,Animal
Odonata,Animal,eatenBy,Garrulus glandarius,Animal
Garrulus glandarius,Animal,eats,Odonata,Animal
Cicada orni,Animal,eatenBy,Garrulus glandarius,Animal
Quercus ilex,Plant,eatenBy,Garrulus glandarius,Animal
Garrulus glandarius,Animal,eats,Quercus ilex,Plant
Garrulus glandarius,Animal,eats,Cicada orni,Animal
Cervus elaphus,Animal,eatenBy,Vulpes vulpes,Animal
Lepus europaeus,Animal,eatenBy,Vulpes vulpes,Animal
Soricidae,Animal,eatenBy,Vulpes vulpes,Animal
Myodes glareolus,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Cervus elaphus,Animal
Microtus oeconomus,Animal,eatenBy,Vulpes vulpes,Animal
Sus scrofa,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Sciuridae,Animal
Microtus,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Apodemus flavicollis,Animal
Vulpes vulpes,Animal,eats,Microtus,Animal
Sciuridae,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Capreolus capreolus,Animal
Ovis aries,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Talpa europaea,Animal
Vulpes vulpes,Animal,eats,Myodes glareolus,Animal
Apodemus flavicollis,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Apodemus,Animal
Capreolus capreolus,Animal,eatenBy,Vulpes vulpes,Animal
Mustela nivalis,Animal,eatenBy,Vulpes vulpes,Animal
Talpa europaea,Animal,eatenBy,Vulpes vulpes,Animal
Apodemus,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Sus scrofa,Animal
Vulpes vulpes,Animal,eats,Lepus europaeus,Animal
Cervidae,Animal,eatenBy,Vulpes vulpes,Animal
Vulpes vulpes,Animal,eats,Mustela nivalis,Animal
Vulpes vulpes,Animal,eats,Soricidae,Animal
Vulpes vulpes,Animal,eats,Microtus oeconomus,Animal
Vulpes vulpes,Animal,eats,Ovis aries,Animal
Vulpes vulpes,Animal,eats,Cervidae,Animal
